Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validating Form,Chrome 137.0.0.0,,,15-06-2025 00:05:01,15-06-2025 00:08:37,"3m - 36,161s",PASSED
,,,,,,,
Test Cases/PF 1 - Load practice form,Chrome 137.0.0.0,,,15-06-2025 00:05:01,15-06-2025 00:05:34,"33,277s",PASSED
"openBrowser("""")",Chrome 137.0.0.0,,,15-06-2025 00:05:01,15-06-2025 00:05:05,"3,177s",PASSED
maximizeWindow(),Chrome 137.0.0.0,,,15-06-2025 00:05:05,15-06-2025 00:05:05,"0,121s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 137.0.0.0,,,15-06-2025 00:05:05,15-06-2025 00:05:33,"28,158s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Practice Form/Title Name - Practice Form""), 0)",Chrome 137.0.0.0,,,15-06-2025 00:05:33,15-06-2025 00:05:33,"0,371s",PASSED
closeBrowser(),Chrome 137.0.0.0,,,15-06-2025 00:05:33,15-06-2025 00:05:34,"0,970s",PASSED
,,,,,,,
Test Cases/1. Validating Form/VLD 1 - Input blank form,Chrome 137.0.0.0,,,15-06-2025 00:05:34,15-06-2025 00:06:27,"52,314s",PASSED
"openBrowser("""")",Chrome 137.0.0.0,,,15-06-2025 00:05:35,15-06-2025 00:05:37,"1,726s",PASSED
navigateToUrl(baseUrl),Chrome 137.0.0.0,,,15-06-2025 00:05:37,15-06-2025 00:06:25,"48,413s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Practice Form/Title Name - Practice Form""), 0)",Chrome 137.0.0.0,,,15-06-2025 00:06:25,15-06-2025 00:06:25,"0,068s",PASSED
"scrollToElement(findTestObject(""Object Repository/Practice Form/button - Submit""), 0)",Chrome 137.0.0.0,,,15-06-2025 00:06:25,15-06-2025 00:06:25,"0,085s",PASSED
"click(findTestObject(""Object Repository/Practice Form/button - Submit""))",Chrome 137.0.0.0,,,15-06-2025 00:06:25,15-06-2025 00:06:25,"0,380s",PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Modal/txt - Modal title""), 0)",Chrome 137.0.0.0,,,15-06-2025 00:06:25,15-06-2025 00:06:27,"1,089s",PASSED
,,,,,,,
